fy,symbol,gross_profit_margin,operating_profit_margin,net_profit_margin,roe,roic,return_on_assets,return_on_capital_employed,debt_equity_ratio,debt_ratio,net_debt_to_ebitda,interest_coverage,current_ratio,quick_ratio,cash_ratio,asset_turnover,inventory_turnover,receivables_turnover,payables_turnover,cash_conversion_cycle,operating_cf_per_share,free_cf_per_share,free_cf_yield,pe_ratio,pb_ratio,price_to_sales_ratio,price_to_fcf_ratio,price_to_ocf_ratio,dividend_yield,dividend_payout_ratio,earnings_yield,ev_to_sales,ev_to_ebitda,market_cap,book_value_per_share,revenue_per_share,net_income_per_share,shareholders_equity_per_share
2012,BAJFINANCE,1.0,0.86168556,0.279059341,0.175617159,0.072591438,0.033180201,0.10543183,4.067943951,0.768576362,7.190565465,1.913377905,0.982632886,0.982632886,0.847113761,0.118900162,0.0,31.06950147,0.0,0.0,75.04958648,76.3707129,0.651016221,8.633119277,1.516123883,2.409152576,1.536060036,1.563099885,0.009694703,0.083695524,0.115832988,8.67201042,9.956582154,51048497598.0,77.37494363,48.69347054,13.5883678,77.37494363
2013,BAJFINANCE,1.0,0.841132894,0.258689731,0.18012897,0.065464324,0.029206678,0.097080489,4.895366316,0.793750102,7.921468733,1.87523161,1.617738657,1.617738657,1.470935979,0.112902348,0.0,35.3077998,0.0,0.0,122.5672819,124.0570417,0.692669133,12.36968731,2.228139028,3.199911086,1.443690721,1.461238246,0.008385495,0.103725957,0.080842787,9.946538992,11.67860429,88939288701.0,80.3809806,55.97030517,14.47894321,80.3809806
2014,BAJFINANCE,1.0,0.903121096,0.253218533,0.187057944,0.06945753,0.027364938,0.099918377,5.355676342,0.783488508,7.86621804,1.735314837,0.527932044,0.527932044,0.310173697,0.108068463,0.0,21.37869287,0.0,0.0,141.5704936,142.8905706,0.347792554,22.83249594,4.270999738,5.781611129,2.875277201,2.902087783,0.003906669,0.089199002,0.043797227,12.9649117,14.19748781,205008000000.0,96.19527632,71.06150705,17.99409058,96.19527632
2015,BAJFINANCE,1.0,0.959182985,0.269575722,0.172150416,0.070148039,0.027523108,0.101043411,4.682851334,0.748686086,7.258978779,1.760077993,1.089589156,1.089589156,0.941566518,0.102097872,0.0,22.38904886,0.0,0.0,185.5690442,187.3741573,0.27061157,28.57452326,4.919116067,7.702997748,3.695333497,3.73127966,0.005214548,0.14900323,0.034996209,14.7519107,15.19153484,365362000000.0,140.7590288,89.88838147,24.23172536,140.7590288
2016,BAJFINANCE,1.0,0.937166153,0.27882662,0.191284403,0.071356595,0.028817429,0.100487666,4.872733655,0.734088374,7.431691503,1.839799574,0.305869727,0.305869727,0.165194419,0.103352503,0.0,20.34253768,0.0,0.0,194.4361867,197.198108,0.168387079,34.43612401,6.587093413,9.601708054,5.93869795,6.023055789,0.000603753,0.020790904,0.029039273,16.64674533,17.56037207,632378000000.0,177.7870643,121.9678825,34.0078924,177.7870643
2017,BAJFINANCE,1.0,0.894612064,0.29001475,0.161620124,0.070561259,0.030799082,0.097972171,3.612558588,0.688425964,7.110530204,1.986403895,0.354407071,0.354407071,0.149365201,0.106198331,0.0,17.10908652,0.0,0.0,363.7234619,367.418755,0.202033848,38.25795358,6.18325519,11.09537083,4.949665675,4.99995241,0.001923935,0.073605798,0.026138356,17.53524892,19.36137846,1023060000000.0,294.1169245,163.9061937,47.53521373,294.1169245
2018,BAJFINANCE,1.0,0.540678001,0.357912117,0.202822051,0.036097013,0.032157366,0.048799818,4.48772657,0.711527499,14.23953256,0.91114295,0.618499468,2.210500177,0.720982618,0.089847101,0.0,12.43572089,0.0,0.0,505.8476204,512.7589952,0.170837094,43.28973697,8.78011325,15.49392142,5.853529686,5.933506216,0.001330792,0.057609656,0.023100163,23.37681891,42.22748987,1729420000000.0,341.8463879,193.7179052,69.33398561,341.8463879
2019,BAJFINANCE,1.0,0.44320559,0.331971077,0.162825113,0.035814686,0.032019625,0.0429476,3.363386057,0.661411241,14.65465193,0.741827744,1.814664619,3.06470071,1.873013373,0.096453056,0.0,16.64694642,0.0,0.0,416.5823721,425.2315176,0.191908799,24.68254674,4.018938456,8.193891632,5.210808485,5.318996069,0.007260314,0.17920304,0.040514458,14.96122145,32.3985233,1299230000000.0,551.3396197,270.420955,89.77193574,551.3396197
2020,BAJFINANCE,1.0,0.353687954,0.27584963,0.11971859,0.029208825,0.025767508,0.033211764,2.876227877,0.619061958,17.34365164,0.601974719,2.066613772,3.303946986,2.523400308,0.093411429,0.0,14.47072902,0.0,0.0,14.66610838,19.81851644,0.003848368,69.98844858,8.378918399,19.30628762,259.8504291,351.1395026,8860000.0,0.000619935,0.014288072,25.79261722,68.96630233,3093360000000.0,614.6199014,266.7447052,73.58142814,614.6199014
2021,BAJFINANCE,1.0,0.45264218,0.348854051,0.160782372,0.038186836,0.033073189,0.043150283,3.040039403,0.625340933,13.58430225,0.935472455,2.891800363,4.173519652,3.237847638,0.094805232,0.0,13.44237159,0.0,0.0,614.5071208,625.031466,0.086093081,62.24411141,10.0077559,21.71411041,11.61533522,11.81426505,0.001377547,0.085744206,0.016065777,28.12224339,59.61503224,4374660000000.0,725.4323622,334.3425018,116.6367362,725.4323622
